symbol,price,change,pct_change,volume,amount,open,high,low,prev_close,timestamp
600000,9.98,-0.14,-1.38,378826,380103392.0,10.12,10.17,9.95,10.12,2026-04-07 19:13:59.203206+08:00
000001,11.03,-0.09,-0.81,607955,671322754.77,11.12,11.14,10.97,11.12,2026-04-07 19:13:59.407602+08:00
600519,1440.02,-19.98,-1.37,24152,3507471653.0,1460.05,1470.0,1435.05,1460.0,2026-04-07 19:13:59.609288+08:00
000858,103.11,-0.38,-0.37,81548,839975542.86,103.4,103.9,102.35,103.49,2026-04-07 19:14:01.044722+08:00
600036,38.99,-0.41,-1.04,528367,2071766646.0,39.39,39.6,38.96,39.4,2026-04-07 19:14:01.244595+08:00
601318,56.69,-0.56,-0.98,503858,2865555758.0,57.3,57.55,56.41,57.25,2026-04-07 19:14:01.455532+08:00
000333,76.12,-0.23,-0.3,163826,1246113299.91,76.35,76.7,75.62,76.35,2026-04-07 19:14:01.669935+08:00
002415,30.2,-0.07,-0.23,281594,849410644.67,30.27,30.5,29.92,30.27,2026-04-07 19:14:01.867256+08:00
