timestamp,open,high,low,close,volume
2026-03-09 00:00:00+08:00,4098.7,4106.53,4052.54,4096.6,79780355600
2026-03-10 00:00:00+08:00,4098.59,4123.96,4098.59,4123.14,67492219400
2026-03-11 00:00:00+08:00,4123.67,4135.84,4112.8,4133.43,70772716900
2026-03-12 00:00:00+08:00,4133.2,4141.65,4103.16,4129.1,78615118200
2026-03-13 00:00:00+08:00,4117.57,4134.08,4086.85,4095.45,79205476400
2026-03-16 00:00:00+08:00,4092.25,4096.13,4048.09,4084.79,73222709800
2026-03-17 00:00:00+08:00,4086.3,4108.4,4049.58,4049.91,67877122400
2026-03-18 00:00:00+08:00,4053.3,4065.37,4023.03,4062.98,62387310200
2026-03-19 00:00:00+08:00,4028.54,4042.02,3994.16,4006.55,66725542200
2026-03-20 00:00:00+08:00,4004.57,4022.7,3955.71,3957.05,66679838700
2026-03-23 00:00:00+08:00,3904.95,3906.62,3794.68,3813.28,80473885000
2026-03-24 00:00:00+08:00,3849.63,3881.42,3807.99,3881.28,68062203900
2026-03-25 00:00:00+08:00,3892.27,3933.06,3891.82,3931.84,68834362600
2026-03-26 00:00:00+08:00,3924.96,3937.1,3880.57,3889.08,61597398100
2026-03-27 00:00:00+08:00,3852.09,3924.11,3852.09,3913.72,56134296300
2026-03-30 00:00:00+08:00,3884.28,3924.29,3872.78,3923.29,59558947900
2026-03-31 00:00:00+08:00,3924.07,3948.81,3891.86,3891.86,60670498300
2026-04-01 00:00:00+08:00,3939.57,3955.94,3929.92,3948.55,56461159800
2026-04-02 00:00:00+08:00,3940.8,3952.58,3900.12,3919.28,54421283500
2026-04-03 00:00:00+08:00,3927.59,3929.53,3871.3,3880.1,49269908200
2026-04-07 00:00:00+08:00,3884.15,3902.61,3875.68,3890.16,47361507600
