timestamp,open,high,low,close,volume
2026-03-09 00:00:00+08:00,1390.0,1404.9,1383.2,1397.0,3744162
2026-03-10 00:00:00+08:00,1404.9,1409.49,1398.0,1401.88,2462592
2026-03-11 00:00:00+08:00,1402.99,1405.99,1398.02,1400.0,2445673
2026-03-12 00:00:00+08:00,1395.0,1403.95,1391.01,1392.0,2758646
2026-03-13 00:00:00+08:00,1392.48,1417.62,1392.0,1413.64,3360783
2026-03-16 00:00:00+08:00,1420.0,1466.0,1420.0,1460.18,6008635
2026-03-17 00:00:00+08:00,1468.0,1498.07,1461.19,1485.0,4945361
2026-03-18 00:00:00+08:00,1489.0,1496.5,1463.15,1468.8,3555100
2026-03-19 00:00:00+08:00,1472.96,1473.0,1446.0,1452.87,3031859
2026-03-20 00:00:00+08:00,1452.96,1462.5,1439.0,1445.0,2613234
2026-03-23 00:00:00+08:00,1433.33,1435.0,1400.03,1408.07,4725589
2026-03-24 00:00:00+08:00,1416.0,1417.59,1400.18,1407.33,2856179
2026-03-25 00:00:00+08:00,1410.11,1417.87,1401.01,1410.27,2609346
2026-03-26 00:00:00+08:00,1409.0,1413.9,1400.3,1401.18,2309289
2026-03-27 00:00:00+08:00,1400.0,1426.0,1396.66,1416.02,3008711
2026-03-30 00:00:00+08:00,1407.0,1431.0,1402.52,1420.0,2868459
2026-03-31 00:00:00+08:00,1468.0,1479.93,1448.41,1450.0,6169066
2026-04-01 00:00:00+08:00,1464.49,1469.99,1452.88,1459.44,2912514
2026-04-02 00:00:00+08:00,1459.44,1464.88,1452.1,1459.88,2106437
2026-04-03 00:00:00+08:00,1459.54,1469.96,1455.0,1460.0,2019373
2026-04-07 00:00:00+08:00,1460.05,1470.0,1435.05,1440.02,2415218
