timestamp,open,high,low,close,volume
2026-03-09 00:00:00+08:00,9.83,10.02,9.77,9.85,116840499
2026-03-10 00:00:00+08:00,9.83,9.99,9.8,9.96,64916390
2026-03-11 00:00:00+08:00,9.97,10.1,9.85,10.07,100884566
2026-03-12 00:00:00+08:00,10.04,10.2,10.01,10.18,89418328
2026-03-13 00:00:00+08:00,10.16,10.41,10.13,10.26,99676711
2026-03-16 00:00:00+08:00,10.22,10.32,10.22,10.29,66490467
2026-03-17 00:00:00+08:00,10.27,10.42,10.27,10.38,76260073
2026-03-18 00:00:00+08:00,10.38,10.42,10.3,10.37,65221883
2026-03-19 00:00:00+08:00,10.32,10.4,10.25,10.32,75867153
2026-03-20 00:00:00+08:00,10.33,10.46,10.28,10.28,74883607
2026-03-23 00:00:00+08:00,10.23,10.23,9.85,9.86,93394504
2026-03-24 00:00:00+08:00,9.95,10.12,9.89,10.04,60985887
2026-03-25 00:00:00+08:00,10.06,10.12,9.94,10.1,45678402
2026-03-26 00:00:00+08:00,10.07,10.18,10.03,10.06,36081386
2026-03-27 00:00:00+08:00,10.01,10.12,9.98,10.02,39243944
2026-03-30 00:00:00+08:00,9.97,10.02,9.91,10.01,38507357
2026-03-31 00:00:00+08:00,10.01,10.28,9.95,10.18,96580613
2026-04-01 00:00:00+08:00,10.2,10.37,10.18,10.24,57416463
2026-04-02 00:00:00+08:00,10.25,10.37,10.21,10.25,41638322
2026-04-03 00:00:00+08:00,10.25,10.25,10.08,10.12,41151821
2026-04-07 00:00:00+08:00,10.12,10.17,9.95,9.98,37882609
